profile_id,person_id,annual_income_k,income_bracket,spending_score,preferred_segment,loyalty_tier,loyalty_discount,preferred_category,num_purchases_yr
71,5230,10,<15k,56,Moderate,Bronze,0.05,Abbigliamento,34
72,6887,7,<15k,67,Value_Seeker,Bronze,0.05,Abbigliamento,7
73,7031,24,15k-30k,50,Moderate,Gold,0.15,Casa,38
74,3422,43,30k-50k,58,Moderate,Gold,0.15,Sport,1
75,1803,20,15k-30k,65,Value_Seeker,Bronze,0.05,Casa,7
76,1199,27,15k-30k,22,Budget,Gold,0.15,Casa,12
77,6208,22,15k-30k,75,Value_Seeker,Gold,0.15,Casa,33
78,982,7,<15k,50,Moderate,Gold,0.15,Casa,34
79,393,10,<15k,48,Moderate,Bronze,0.05,Lusso,31
80,2310,26,15k-30k,38,Moderate,Gold,0.15,Alimentari,4
81,3203,8,<15k,76,Value_Seeker,Bronze,0.05,Elettronica,45
82,1731,12,<15k,54,Moderate,Silver,0.1,Alimentari,13
83,3126,43,30k-50k,31,Moderate,Platinum,0.25,Alimentari,46
84,4354,23,15k-30k,41,Moderate,Silver,0.1,Alimentari,19
85,4936,11,<15k,24,Budget,Bronze,0.05,Alimentari,2
86,2902,37,30k-50k,28,Budget,Gold,0.15,Abbigliamento,13
87,7044,11,<15k,35,Moderate,Silver,0.1,Casa,14
88,586,33,30k-50k,39,Moderate,Silver,0.1,Sport,27
89,2398,34,30k-50k,58,Moderate,Platinum,0.25,Casa,43
90,1677,12,<15k,71,Value_Seeker,Gold,0.15,Alimentari,17
91,5214,29,15k-30k,75,Value_Seeker,Bronze,0.05,Alimentari,20
92,2540,8,<15k,80,Value_Seeker,Bronze,0.05,Sport,29
93,169,115,>50k,44,Moderate,Platinum,0.25,Alimentari,8
94,1608,28,15k-30k,50,Moderate,Gold,0.15,Casa,6
95,6612,13,<15k,59,Moderate,Bronze,0.05,Casa,48
96,1041,5,<15k,16,Budget,Gold,0.15,Casa,23
97,2952,49,30k-50k,20,Budget,Bronze,0.05,Viaggi,45
98,6710,63,>50k,51,Moderate,Silver,0.1,Elettronica,4
99,4698,16,15k-30k,46,Moderate,Gold,0.15,Elettronica,7
100,6982,29,15k-30k,60,Enthusiast,Gold,0.15,Sport,17
101,2939,17,15k-30k,59,Moderate,Bronze,0.05,Alimentari,36
102,5597,27,15k-30k,14,Budget,Silver,0.1,Alimentari,43
103,6954,10,<15k,70,Value_Seeker,Silver,0.1,Sport,10
104,4370,102,>50k,58,Moderate,Gold,0.15,Casa,20
105,1046,20,15k-30k,62,Value_Seeker,Silver,0.1,Abbigliamento,16
106,1928,28,15k-30k,71,Value_Seeker,Bronze,0.05,Alimentari,37
107,6291,10,<15k,57,Moderate,Bronze,0.05,Sport,26
108,1643,7,<15k,84,Value_Seeker,Silver,0.1,Elettronica,13
109,4844,23,15k-30k,32,Moderate,Silver,0.1,Elettronica,19
110,4407,92,>50k,36,Moderate,Gold,0.15,Abbigliamento,28
111,7227,15,15k-30k,58,Moderate,Bronze,0.05,Sport,37
112,263,26,15k-30k,42,Moderate,Silver,0.1,Lusso,1
113,1022,22,15k-30k,55,Moderate,Bronze,0.05,Casa,49
114,3765,28,15k-30k,89,Value_Seeker,Bronze,0.05,Casa,5
115,6599,35,30k-50k,52,Moderate,Gold,0.15,Alimentari,24
116,1320,12,<15k,64,Value_Seeker,Bronze,0.05,Abbigliamento,43
117,5337,12,<15k,42,Moderate,Bronze,0.05,Abbigliamento,45
118,5668,6,<15k,26,Budget,Bronze,0.05,Abbigliamento,10
119,3033,45,30k-50k,43,Moderate,Gold,0.15,Sport,1
120,3337,10,<15k,81,Value_Seeker,Silver,0.1,Abbigliamento,49
121,4220,62,>50k,48,Moderate,Silver,0.1,Alimentari,6
122,3258,6,<15k,68,Value_Seeker,Bronze,0.05,Alimentari,38
123,4622,10,<15k,88,Value_Seeker,Silver,0.1,Abbigliamento,38
124,6125,93,>50k,83,Premium,Bronze,0.05,Elettronica,47
125,1168,7,<15k,68,Value_Seeker,Gold,0.15,Viaggi,41
126,1128,32,30k-50k,48,Moderate,Silver,0.1,Abbigliamento,16
127,1097,14,<15k,29,Budget,Silver,0.1,Alimentari,30
128,3442,39,30k-50k,32,Moderate,Silver,0.1,Casa,46
129,3914,46,30k-50k,39,Moderate,Platinum,0.25,Elettronica,32
130,2955,12,<15k,42,Moderate,Silver,0.1,Abbigliamento,12
131,5970,43,30k-50k,49,Moderate,Gold,0.15,Viaggi,49
132,3050,5,<15k,98,Value_Seeker,Silver,0.1,Casa,12
133,6789,14,<15k,90,Value_Seeker,Bronze,0.05,Casa,18
134,6099,36,30k-50k,49,Moderate,Bronze,0.05,Alimentari,32
135,4871,11,<15k,75,Value_Seeker,Bronze,0.05,Sport,26
136,737,21,15k-30k,35,Moderate,Silver,0.1,Abbigliamento,36
137,6611,28,15k-30k,79,Value_Seeker,Silver,0.1,Alimentari,29
138,6808,5,<15k,28,Budget,Bronze,0.05,Casa,1
139,1142,14,<15k,78,Value_Seeker,Silver,0.1,Alimentari,33
140,6534,31,30k-50k,54,Moderate,Gold,0.15,Abbigliamento,28
141,7296,76,>50k,39,Moderate,Gold,0.15,Alimentari,29
142,6400,20,15k-30k,45,Moderate,Silver,0.1,Casa,16
143,3539,15,15k-30k,27,Budget,Bronze,0.05,Casa,19
144,2446,8,<15k,38,Moderate,Silver,0.1,Casa,32
145,544,21,15k-30k,18,Budget,Silver,0.1,Elettronica,5
146,6381,46,30k-50k,60,Enthusiast,Gold,0.15,Casa,5
147,1412,20,15k-30k,74,Value_Seeker,Gold,0.15,Elettronica,23
148,1694,65,>50k,11,Budget,Gold,0.15,Alimentari,9
149,6474,27,15k-30k,86,Value_Seeker,Platinum,0.25,Casa,8
150,6356,102,>50k,54,Moderate,Silver,0.1,Casa,40
151,5474,23,15k-30k,55,Moderate,Bronze,0.05,Casa,25
152,6264,44,30k-50k,15,Budget,Silver,0.1,Alimentari,12
153,5317,63,>50k,81,Premium,Platinum,0.25,Viaggi,35
154,4741,98,>50k,59,Moderate,Gold,0.15,Lusso,42
155,4756,22,15k-30k,72,Value_Seeker,Bronze,0.05,Elettronica,23
156,6127,8,<15k,84,Value_Seeker,Silver,0.1,Alimentari,30
157,3322,18,15k-30k,76,Value_Seeker,Silver,0.1,Alimentari,10
158,3035,47,30k-50k,32,Moderate,Bronze,0.05,Elettronica,18
159,5613,6,<15k,55,Moderate,Platinum,0.25,Casa,31
160,5030,13,<15k,47,Moderate,Bronze,0.05,Viaggi,42
161,6131,72,>50k,72,Premium,Silver,0.1,Abbigliamento,22
162,1047,25,15k-30k,56,Moderate,Bronze,0.05,Abbigliamento,18
163,177,21,15k-30k,71,Value_Seeker,Bronze,0.05,Abbigliamento,3
164,3908,9,<15k,82,Value_Seeker,Silver,0.1,Sport,5
165,2615,49,30k-50k,10,Budget,Gold,0.15,Abbigliamento,39
166,1535,13,<15k,87,Value_Seeker,Silver,0.1,Elettronica,45
167,1760,16,15k-30k,69,Value_Seeker,Silver,0.1,Casa,39
168,3011,100,>50k,47,Moderate,Gold,0.15,Alimentari,31
169,711,35,30k-50k,51,Moderate,Gold,0.15,Sport,44
170,4697,40,30k-50k,42,Moderate,Silver,0.1,Elettronica,29
171,2272,20,15k-30k,62,Value_Seeker,Silver,0.1,Abbigliamento,39
172,1330,7,<15k,52,Moderate,Silver,0.1,Elettronica,23
173,4733,22,15k-30k,59,Moderate,Platinum,0.25,Sport,6
174,6581,14,<15k,61,Value_Seeker,Bronze,0.05,Abbigliamento,6
175,1221,26,15k-30k,41,Moderate,Gold,0.15,Sport,31
176,6194,39,30k-50k,48,Moderate,Gold,0.15,Viaggi,1
177,5002,25,15k-30k,100,Value_Seeker,Platinum,0.25,Alimentari,35
178,1563,7,<15k,46,Moderate,Bronze,0.05,Lusso,3
179,2083,116,>50k,50,Moderate,Bronze,0.05,Lusso,30
180,5655,23,15k-30k,36,Moderate,Silver,0.1,Elettronica,36
181,7027,16,15k-30k,38,Moderate,Silver,0.1,Elettronica,1
182,6459,20,15k-30k,66,Value_Seeker,Silver,0.1,Abbigliamento,35
183,6687,33,30k-50k,59,Moderate,Gold,0.15,Alimentari,19
184,3153,16,15k-30k,49,Moderate,Bronze,0.05,Alimentari,5
185,5303,15,15k-30k,70,Value_Seeker,Bronze,0.05,Casa,19
186,2471,23,15k-30k,65,Value_Seeker,Gold,0.15,Casa,1
187,41,18,15k-30k,46,Moderate,Silver,0.1,Alimentari,39
188,1317,10,<15k,29,Budget,Bronze,0.05,Abbigliamento,6
189,5639,37,30k-50k,61,Enthusiast,Bronze,0.05,Casa,19
190,1632,7,<15k,63,Value_Seeker,Gold,0.15,Abbigliamento,14
191,217,30,30k-50k,45,Moderate,Silver,0.1,Viaggi,12
192,5255,13,<15k,50,Moderate,Bronze,0.05,Elettronica,19
193,4701,117,>50k,69,Enthusiast,Silver,0.1,Abbigliamento,43
194,87,7,<15k,66,Value_Seeker,Gold,0.15,Sport,22
195,3034,26,15k-30k,45,Moderate,Silver,0.1,Elettronica,50
196,3245,12,<15k,35,Moderate,Bronze,0.05,Abbigliamento,42
197,6638,8,<15k,81,Value_Seeker,Platinum,0.25,Alimentari,26
198,2127,12,<15k,72,Value_Seeker,Bronze,0.05,Abbigliamento,24
199,1916,45,30k-50k,50,Moderate,Gold,0.15,Casa,14
200,5416,15,15k-30k,1,Budget,Bronze,0.05,Elettronica,4
201,742,28,15k-30k,49,Moderate,Bronze,0.05,Abbigliamento,6
202,7380,47,30k-50k,40,Moderate,Silver,0.1,Lusso,36
203,4149,30,30k-50k,32,Moderate,Gold,0.15,Alimentari,1
204,5384,51,>50k,70,Enthusiast,Gold,0.15,Lusso,7
205,2921,7,<15k,74,Value_Seeker,Bronze,0.05,Alimentari,49
206,4043,19,15k-30k,58,Moderate,Silver,0.1,Abbigliamento,32
207,2439,13,<15k,80,Value_Seeker,Gold,0.15,Casa,2
208,233,15,15k-30k,29,Budget,Platinum,0.25,Elettronica,4
209,6965,25,15k-30k,40,Moderate,Platinum,0.25,Alimentari,10
210,932,37,30k-50k,46,Moderate,Silver,0.1,Viaggi,4
211,2903,12,<15k,47,Moderate,Silver,0.1,Abbigliamento,27
212,1880,17,15k-30k,64,Value_Seeker,Silver,0.1,Elettronica,21
213,2620,116,>50k,44,Moderate,Platinum,0.25,Viaggi,4
214,2929,6,<15k,85,Value_Seeker,Bronze,0.05,Viaggi,6
215,4198,28,15k-30k,31,Moderate,Gold,0.15,Viaggi,50
216,2189,18,15k-30k,92,Value_Seeker,Bronze,0.05,Alimentari,38
217,7347,7,<15k,100,Value_Seeker,Bronze,0.05,Abbigliamento,19
218,3308,5,<15k,58,Moderate,Bronze,0.05,Viaggi,36
219,1940,43,30k-50k,67,Enthusiast,Gold,0.15,Casa,41
220,3105,21,15k-30k,41,Moderate,Bronze,0.05,Abbigliamento,18
221,3580,12,<15k,80,Value_Seeker,Bronze,0.05,Sport,16
222,3813,18,15k-30k,46,Moderate,Gold,0.15,Abbigliamento,5
223,6270,101,>50k,29,Budget,Bronze,0.05,Abbigliamento,22
224,7392,66,>50k,1,Budget,Silver,0.1,Alimentari,8
225,496,9,<15k,54,Moderate,Silver,0.1,Elettronica,6
226,6825,28,15k-30k,55,Moderate,Silver,0.1,Elettronica,30
227,3896,93,>50k,81,Premium,Platinum,0.25,Lusso,3
228,1174,15,15k-30k,50,Moderate,Platinum,0.25,Abbigliamento,7
229,1163,10,<15k,80,Value_Seeker,Silver,0.1,Casa,9
230,6074,12,<15k,50,Moderate,Bronze,0.05,Abbigliamento,45
231,19,23,15k-30k,43,Moderate,Bronze,0.05,Viaggi,28
232,1652,15,15k-30k,71,Value_Seeker,Bronze,0.05,Sport,4
233,5378,53,>50k,5,Budget,Gold,0.15,Alimentari,18
234,3649,103,>50k,55,Moderate,Bronze,0.05,Casa,15
235,3767,26,15k-30k,42,Moderate,Bronze,0.05,Sport,24
236,3265,103,>50k,82,Premium,Bronze,0.05,Abbigliamento,21
237,3076,27,15k-30k,39,Moderate,Gold,0.15,Viaggi,35
238,960,25,15k-30k,60,Enthusiast,Silver,0.1,Casa,48
239,786,11,<15k,78,Value_Seeker,Gold,0.15,Abbigliamento,36
240,1811,46,30k-50k,15,Budget,Silver,0.1,Casa,17
241,4147,16,15k-30k,47,Moderate,Silver,0.1,Casa,38
242,4523,6,<15k,51,Moderate,Platinum,0.25,Abbigliamento,13
243,7449,22,15k-30k,68,Value_Seeker,Silver,0.1,Abbigliamento,8
244,2252,42,30k-50k,58,Moderate,Silver,0.1,Alimentari,26
245,7416,41,30k-50k,40,Moderate,Gold,0.15,Abbigliamento,35
246,3937,45,30k-50k,24,Budget,Bronze,0.05,Alimentari,32
247,1385,14,<15k,80,Value_Seeker,Silver,0.1,Alimentari,50
248,1954,17,15k-30k,48,Moderate,Platinum,0.25,Casa,30
249,6990,24,15k-30k,17,Budget,Bronze,0.05,Abbigliamento,4
250,4705,22,15k-30k,19,Budget,Bronze,0.05,Casa,46
251,4270,8,<15k,68,Value_Seeker,Bronze,0.05,Abbigliamento,21
252,3494,20,15k-30k,24,Budget,Bronze,0.05,Alimentari,1
253,2423,77,>50k,92,Premium,Platinum,0.25,Lusso,17
254,4878,98,>50k,36,Moderate,Platinum,0.25,Viaggi,5
255,4022,21,15k-30k,49,Moderate,Silver,0.1,Alimentari,13
256,4522,110,>50k,58,Moderate,Bronze,0.05,Casa,24
257,6391,46,30k-50k,30,Moderate,Gold,0.15,Alimentari,36
258,3297,6,<15k,15,Budget,Silver,0.1,Abbigliamento,36
259,7499,7,<15k,63,Value_Seeker,Bronze,0.05,Casa,31
260,2689,13,<15k,44,Moderate,Bronze,0.05,Elettronica,3
261,5885,20,15k-30k,52,Moderate,Silver,0.1,Alimentari,24
262,4864,32,30k-50k,42,Moderate,Gold,0.15,Abbigliamento,6
263,2673,15,15k-30k,55,Moderate,Silver,0.1,Viaggi,25
264,222,15,15k-30k,81,Value_Seeker,Silver,0.1,Elettronica,36
265,6874,47,30k-50k,34,Moderate,Bronze,0.05,Alimentari,32
266,5848,27,15k-30k,40,Moderate,Bronze,0.05,Viaggi,2
267,4652,41,30k-50k,11,Budget,Silver,0.1,Casa,32
268,835,11,<15k,56,Moderate,Silver,0.1,Abbigliamento,45
269,1281,57,>50k,63,Enthusiast,Silver,0.1,Abbigliamento,24
270,2304,34,30k-50k,35,Moderate,Bronze,0.05,Alimentari,49
271,4071,18,15k-30k,58,Moderate,Platinum,0.25,Casa,22
272,1002,29,15k-30k,46,Moderate,Silver,0.1,Alimentari,26
273,7004,44,30k-50k,18,Budget,Platinum,0.25,Abbigliamento,43
274,4157,12,<15k,66,Value_Seeker,Bronze,0.05,Casa,18
275,5385,15,15k-30k,45,Moderate,Gold,0.15,Casa,44
276,1400,25,15k-30k,52,Moderate,Silver,0.1,Casa,25
277,7183,29,15k-30k,38,Moderate,Gold,0.15,Alimentari,22
278,3006,11,<15k,46,Moderate,Bronze,0.05,Viaggi,22
279,1871,29,15k-30k,53,Moderate,Platinum,0.25,Abbigliamento,43
280,3377,34,30k-50k,40,Moderate,Gold,0.15,Alimentari,3
281,4362,11,<15k,94,Value_Seeker,Silver,0.1,Sport,11
282,5838,10,<15k,75,Value_Seeker,Platinum,0.25,Alimentari,32
283,3333,10,<15k,70,Value_Seeker,Silver,0.1,Viaggi,44
284,5495,17,15k-30k,46,Moderate,Platinum,0.25,Alimentari,2
285,468,24,15k-30k,9,Budget,Silver,0.1,Alimentari,12
286,4092,13,<15k,43,Moderate,Bronze,0.05,Elettronica,42
287,5365,7,<15k,47,Moderate,Bronze,0.05,Casa,27
288,5099,13,<15k,54,Moderate,Bronze,0.05,Alimentari,32
289,5845,14,<15k,59,Moderate,Silver,0.1,Casa,23
290,2168,29,15k-30k,63,Value_Seeker,Platinum,0.25,Abbigliamento,22
291,5407,33,30k-50k,50,Moderate,Gold,0.15,Elettronica,19
292,3231,15,15k-30k,73,Value_Seeker,Gold,0.15,Sport,6
293,2662,18,15k-30k,43,Moderate,Silver,0.1,Abbigliamento,48
294,2825,47,30k-50k,50,Moderate,Gold,0.15,Abbigliamento,41
295,6010,15,15k-30k,56,Moderate,Bronze,0.05,Abbigliamento,11
296,6600,10,<15k,64,Value_Seeker,Bronze,0.05,Elettronica,13
297,2716,102,>50k,80,Premium,Silver,0.1,Viaggi,42
298,2722,11,<15k,76,Value_Seeker,Bronze,0.05,Abbigliamento,35
299,50,43,30k-50k,18,Budget,Bronze,0.05,Alimentari,19
300,5140,9,<15k,57,Moderate,Platinum,0.25,Casa,21
301,2338,98,>50k,54,Moderate,Silver,0.1,Sport,22
302,2577,11,<15k,100,Value_Seeker,Silver,0.1,Alimentari,27
303,6078,22,15k-30k,43,Moderate,Platinum,0.25,Alimentari,36
304,743,108,>50k,35,Moderate,Platinum,0.25,Casa,26
305,4539,10,<15k,68,Value_Seeker,Gold,0.15,Viaggi,8
306,4945,6,<15k,69,Value_Seeker,Bronze,0.05,Casa,10
307,3519,35,30k-50k,43,Moderate,Gold,0.15,Abbigliamento,4
308,5437,33,30k-50k,40,Moderate,Silver,0.1,Casa,28
309,4700,10,<15k,78,Value_Seeker,Bronze,0.05,Alimentari,28
310,2022,37,30k-50k,27,Budget,Gold,0.15,Viaggi,49
311,1507,36,30k-50k,38,Moderate,Gold,0.15,Abbigliamento,9
312,4903,25,15k-30k,39,Moderate,Silver,0.1,Alimentari,38
313,2498,40,30k-50k,66,Enthusiast,Platinum,0.25,Alimentari,29
314,4458,29,15k-30k,55,Moderate,Bronze,0.05,Casa,50
315,1543,12,<15k,38,Moderate,Bronze,0.05,Elettronica,3
316,6714,24,15k-30k,30,Moderate,Silver,0.1,Abbigliamento,43
317,2970,14,<15k,97,Value_Seeker,Silver,0.1,Alimentari,5
318,1807,19,15k-30k,71,Value_Seeker,Platinum,0.25,Abbigliamento,5
319,6552,23,15k-30k,66,Value_Seeker,Silver,0.1,Viaggi,28
320,2619,12,<15k,60,Enthusiast,Silver,0.1,Elettronica,30
321,1407,6,<15k,90,Value_Seeker,Silver,0.1,Alimentari,2
322,3106,15,15k-30k,27,Budget,Gold,0.15,Elettronica,25
323,2002,19,15k-30k,65,Value_Seeker,Bronze,0.05,Casa,9
324,2794,19,15k-30k,41,Moderate,Bronze,0.05,Abbigliamento,11
325,6006,23,15k-30k,45,Moderate,Silver,0.1,Alimentari,25
326,1545,10,<15k,74,Value_Seeker,Platinum,0.25,Alimentari,24
327,3721,29,15k-30k,47,Moderate,Bronze,0.05,Elettronica,26
328,4391,17,15k-30k,41,Moderate,Silver,0.1,Abbigliamento,21
329,1741,22,15k-30k,40,Moderate,Gold,0.15,Casa,18
330,1634,25,15k-30k,10,Budget,Bronze,0.05,Alimentari,43
331,486,38,30k-50k,60,Enthusiast,Silver,0.1,Elettronica,3
332,5505,10,<15k,39,Moderate,Gold,0.15,Alimentari,35
333,3879,16,15k-30k,87,Value_Seeker,Silver,0.1,Abbigliamento,29
334,7276,55,>50k,49,Moderate,Silver,0.1,Casa,45
335,997,14,<15k,86,Value_Seeker,Silver,0.1,Elettronica,19
336,4154,16,15k-30k,13,Budget,Bronze,0.05,Alimentari,30
337,811,14,<15k,74,Value_Seeker,Silver,0.1,Alimentari,21
338,4823,23,15k-30k,69,Value_Seeker,Platinum,0.25,Abbigliamento,37
339,1618,27,15k-30k,76,Value_Seeker,Bronze,0.05,Abbigliamento,20
340,6176,49,30k-50k,14,Budget,Gold,0.15,Casa,8
341,354,28,15k-30k,35,Moderate,Bronze,0.05,Elettronica,39
342,48,14,<15k,71,Value_Seeker,Gold,0.15,Abbigliamento,30
343,176,24,15k-30k,52,Moderate,Bronze,0.05,Abbigliamento,21
344,6998,29,15k-30k,55,Moderate,Silver,0.1,Abbigliamento,22
345,2264,35,30k-50k,37,Moderate,Silver,0.1,Abbigliamento,6
346,1844,107,>50k,86,Premium,Bronze,0.05,Viaggi,16
347,2718,12,<15k,100,Value_Seeker,Silver,0.1,Casa,2
348,1730,82,>50k,57,Moderate,Platinum,0.25,Abbigliamento,6
349,6727,54,>50k,64,Enthusiast,Platinum,0.25,Elettronica,9
350,6680,5,<15k,61,Value_Seeker,Silver,0.1,Alimentari,38
351,4047,27,15k-30k,75,Value_Seeker,Gold,0.15,Elettronica,1
352,5831,43,30k-50k,61,Enthusiast,Bronze,0.05,Abbigliamento,24
353,1087,99,>50k,33,Moderate,Bronze,0.05,Casa,37
354,5377,10,<15k,47,Moderate,Silver,0.1,Alimentari,49
355,4126,29,15k-30k,29,Budget,Silver,0.1,Alimentari,30
356,6372,13,<15k,100,Value_Seeker,Gold,0.15,Casa,50
357,5671,23,15k-30k,62,Value_Seeker,Bronze,0.05,Elettronica,25
358,7357,37,30k-50k,33,Moderate,Silver,0.1,Viaggi,36
359,2523,8,<15k,46,Moderate,Gold,0.15,Abbigliamento,4
360,7481,26,15k-30k,66,Value_Seeker,Silver,0.1,Alimentari,35
361,2191,79,>50k,73,Premium,Platinum,0.25,Abbigliamento,49
362,3473,7,<15k,75,Value_Seeker,Bronze,0.05,Casa,31
363,2133,54,>50k,46,Moderate,Gold,0.15,Abbigliamento,25
364,3012,6,<15k,66,Value_Seeker,Gold,0.15,Abbigliamento,43
365,2225,19,15k-30k,52,Moderate,Silver,0.1,Casa,19
366,167,6,<15k,41,Moderate,Gold,0.15,Sport,5
367,3834,20,15k-30k,31,Moderate,Bronze,0.05,Casa,7
368,4623,21,15k-30k,58,Moderate,Bronze,0.05,Elettronica,46
369,1728,85,>50k,58,Moderate,Silver,0.1,Lusso,22
370,7378,16,15k-30k,61,Value_Seeker,Silver,0.1,Elettronica,11
371,6678,8,<15k,75,Value_Seeker,Gold,0.15,Casa,14
372,1322,115,>50k,84,Premium,Bronze,0.05,Viaggi,34
373,6960,83,>50k,39,Moderate,Platinum,0.25,Alimentari,34
374,4353,120,>50k,67,Enthusiast,Bronze,0.05,Elettronica,41
375,6469,74,>50k,69,Enthusiast,Gold,0.15,Elettronica,43
376,4025,17,15k-30k,43,Moderate,Silver,0.1,Sport,20
377,7477,5,<15k,62,Value_Seeker,Bronze,0.05,Abbigliamento,25
378,2119,22,15k-30k,44,Moderate,Gold,0.15,Alimentari,2
379,5501,17,15k-30k,92,Value_Seeker,Bronze,0.05,Sport,7
380,2937,30,30k-50k,47,Moderate,Gold,0.15,Casa,12
381,2260,63,>50k,64,Enthusiast,Gold,0.15,Alimentari,42
382,5568,25,15k-30k,44,Moderate,Bronze,0.05,Sport,38
383,511,14,<15k,50,Moderate,Bronze,0.05,Alimentari,49
