link_id,source_id,target_id,platform,link_type,strength,created_year
99,1446,4908,twitter,follows,N/A,2019
100,1446,6036,twitter,follows,N/A,2009
101,1446,5659,twitter,follows,N/A,2017
102,1446,5592,twitter,follows,N/A,2015
103,1446,479,twitter,follows,N/A,2020
104,1446,1142,twitter,follows,N/A,2018
105,5199,6891,facebook,friend,medium,2014
106,5199,3420,facebook,friend,weak,2014
107,5199,1675,facebook,friend,medium,2015
108,5199,3161,facebook,friend,medium,2020
109,5199,3805,facebook,friend,weak,2021
110,5199,2288,twitter,follows,N/A,2015
111,5199,4604,twitter,follows,N/A,2017
112,5199,6730,twitter,follows,N/A,2006
113,5199,3811,twitter,follows,N/A,2013
114,5199,6181,twitter,follows,N/A,2015
115,5199,901,twitter,follows,N/A,2010
116,6234,7081,facebook,friend,weak,2013
117,6234,7003,facebook,friend,medium,2014
118,6234,6511,facebook,friend,strong,2021
119,6234,6646,twitter,follows,N/A,2021
120,6234,1570,twitter,follows,N/A,2015
121,6234,1281,twitter,follows,N/A,2022
122,6234,3526,twitter,follows,N/A,2015
123,6234,6371,twitter,follows,N/A,2008
124,6234,1760,twitter,follows,N/A,2011
125,4316,4404,facebook,friend,medium,2013
126,4316,5355,facebook,friend,strong,2010
127,4316,1138,facebook,friend,strong,2019
128,4316,7404,facebook,friend,weak,2011
129,4316,2448,facebook,friend,weak,2017
130,4316,774,twitter,follows,N/A,2016
131,4316,1485,twitter,follows,N/A,2013
132,4316,4061,twitter,follows,N/A,2021
133,4316,7460,twitter,follows,N/A,2007
134,4316,5279,twitter,follows,N/A,2017
135,4316,221,twitter,follows,N/A,2006
136,4316,4229,twitter,follows,N/A,2023
137,4316,1215,twitter,follows,N/A,2022
138,4316,4921,twitter,follows,N/A,2011
139,4316,4977,twitter,follows,N/A,2012
140,4316,4980,twitter,follows,N/A,2013
141,5922,321,facebook,friend,medium,2016
142,5922,1450,facebook,friend,medium,2021
143,5922,1139,facebook,friend,medium,2022
144,5922,265,facebook,friend,medium,2018
145,5922,164,facebook,friend,medium,2017
146,5922,6211,facebook,friend,medium,2015
147,5922,7170,facebook,friend,medium,2023
148,5922,1040,facebook,friend,strong,2023
149,5922,1915,twitter,follows,N/A,2019
150,5922,3963,twitter,follows,N/A,2012
151,5922,2567,twitter,follows,N/A,2015
152,5922,7223,twitter,follows,N/A,2015
153,5922,5805,twitter,follows,N/A,2013
154,5922,6456,twitter,follows,N/A,2023
155,5922,6419,twitter,follows,N/A,2008
156,6027,7390,facebook,friend,medium,2016
157,6027,6405,facebook,friend,weak,2016
158,6027,6666,twitter,follows,N/A,2021
159,6027,7465,twitter,follows,N/A,2012
160,6027,4757,twitter,follows,N/A,2015
161,6027,1472,twitter,follows,N/A,2016
162,6027,6634,twitter,follows,N/A,2018
163,6027,2568,twitter,follows,N/A,2019
164,6027,5017,twitter,follows,N/A,2008
165,6027,2797,twitter,follows,N/A,2010
166,6027,4847,twitter,follows,N/A,2019
167,6027,6001,twitter,follows,N/A,2010
168,1850,2918,facebook,friend,weak,2016
169,1850,1163,facebook,friend,medium,2020
170,1850,7454,facebook,friend,weak,2021
171,1850,1875,facebook,friend,medium,2016
172,1850,7435,facebook,friend,strong,2015
173,1850,3474,twitter,follows,N/A,2017
174,1850,1664,twitter,follows,N/A,2022
175,1850,2023,twitter,follows,N/A,2015
176,1850,5324,twitter,follows,N/A,2016
177,1850,5472,twitter,follows,N/A,2018
178,1850,4148,twitter,follows,N/A,2006
179,1850,304,twitter,follows,N/A,2014
180,1850,669,twitter,follows,N/A,2011
181,1850,2081,twitter,follows,N/A,2021
182,429,3786,facebook,friend,strong,2009
183,429,3932,facebook,friend,weak,2013
184,429,1168,facebook,friend,strong,2015
185,429,421,facebook,friend,weak,2013
186,429,3267,facebook,friend,medium,2011
187,429,5251,twitter,follows,N/A,2019
188,429,7368,twitter,follows,N/A,2017
189,429,7229,twitter,follows,N/A,2007
190,429,7090,twitter,follows,N/A,2015
191,429,6414,twitter,follows,N/A,2019
192,429,7294,twitter,follows,N/A,2019
193,101,3286,facebook,friend,weak,2014
194,101,5728,facebook,friend,medium,2020
195,101,1555,facebook,friend,medium,2022
196,101,6625,facebook,friend,medium,2020
197,101,3316,facebook,friend,medium,2023
198,101,2670,facebook,friend,medium,2020
199,101,2175,facebook,friend,weak,2009
200,101,854,twitter,follows,N/A,2011
201,101,7094,twitter,follows,N/A,2013
202,101,6143,twitter,follows,N/A,2023
203,101,6632,twitter,follows,N/A,2015
204,101,4333,twitter,follows,N/A,2023
205,101,1613,twitter,follows,N/A,2012
206,101,1205,twitter,follows,N/A,2019
207,4707,7031,facebook,friend,strong,2009
208,4707,1510,facebook,friend,weak,2015
209,4707,6516,facebook,friend,weak,2022
210,4707,2948,facebook,friend,weak,2013
211,4707,5886,facebook,friend,weak,2016
212,4707,3236,facebook,friend,strong,2023
213,4707,2192,facebook,friend,weak,2017
214,4707,557,facebook,friend,medium,2016
215,4707,1325,twitter,follows,N/A,2022
216,4707,5247,twitter,follows,N/A,2017
217,4707,4659,twitter,follows,N/A,2023
218,4707,3357,twitter,follows,N/A,2010
219,4707,6013,twitter,follows,N/A,2012
220,465,4540,facebook,friend,strong,2011
221,465,6737,facebook,friend,weak,2009
222,465,4467,facebook,friend,weak,2010
223,465,3227,facebook,friend,weak,2019
224,465,6275,facebook,friend,medium,2014
225,465,1703,facebook,friend,medium,2020
226,465,7203,twitter,follows,N/A,2017
227,465,1665,twitter,follows,N/A,2019
228,465,2327,twitter,follows,N/A,2015
229,465,3157,twitter,follows,N/A,2019
230,465,2483,twitter,follows,N/A,2018
231,465,2481,twitter,follows,N/A,2011
232,465,5593,twitter,follows,N/A,2010
233,465,4481,twitter,follows,N/A,2019
234,465,7395,twitter,follows,N/A,2019
235,465,3736,twitter,follows,N/A,2008
236,465,2312,twitter,follows,N/A,2007
237,4129,1107,facebook,friend,weak,2020
238,4129,2676,facebook,friend,strong,2010
239,4129,3295,facebook,friend,weak,2020
240,4129,514,twitter,follows,N/A,2019
241,4129,6497,twitter,follows,N/A,2021
242,4129,4591,twitter,follows,N/A,2010
243,4129,5724,twitter,follows,N/A,2006
244,4129,1540,twitter,follows,N/A,2016
245,4129,3861,twitter,follows,N/A,2021
246,4129,4505,twitter,follows,N/A,2008
247,4129,1695,twitter,follows,N/A,2012
248,4129,3738,twitter,follows,N/A,2011
249,4129,1100,twitter,follows,N/A,2021
250,4828,3176,facebook,friend,weak,2023
251,4828,3574,facebook,friend,weak,2019
252,4828,3249,facebook,friend,medium,2009
253,4828,1288,facebook,friend,weak,2020
254,4828,3557,facebook,friend,strong,2019
255,4828,2018,facebook,friend,strong,2008
256,4828,4897,facebook,friend,weak,2009
257,4828,374,facebook,friend,strong,2011
258,4828,5063,twitter,follows,N/A,2017
259,4828,5075,twitter,follows,N/A,2020
260,4828,3729,twitter,follows,N/A,2019
261,3504,2028,facebook,friend,medium,2012
262,3504,2411,facebook,friend,weak,2016
263,3504,1571,facebook,friend,strong,2015
264,3504,1403,facebook,friend,medium,2009
265,3504,407,twitter,follows,N/A,2023
266,3504,24,twitter,follows,N/A,2009
267,3504,3434,twitter,follows,N/A,2014
268,3504,6810,twitter,follows,N/A,2016
269,3504,6583,twitter,follows,N/A,2019
270,6766,240,facebook,friend,medium,2016
271,6766,6565,facebook,friend,weak,2018
272,6766,1063,facebook,friend,medium,2019
273,6766,214,facebook,friend,medium,2013
274,6766,6852,facebook,friend,strong,2009
275,6766,2194,facebook,friend,medium,2008
276,6766,4115,facebook,friend,weak,2010
277,6766,1328,twitter,follows,N/A,2019
278,6766,4078,twitter,follows,N/A,2019
279,6766,5167,twitter,follows,N/A,2009
280,6766,6079,twitter,follows,N/A,2006
281,6766,4854,twitter,follows,N/A,2018
282,6766,1750,twitter,follows,N/A,2015
283,6766,900,twitter,follows,N/A,2023
284,6766,3490,twitter,follows,N/A,2021
285,6766,2625,twitter,follows,N/A,2008
286,2778,4367,facebook,friend,strong,2013
287,2778,7488,facebook,friend,weak,2009
288,2778,3449,facebook,friend,weak,2023
289,2778,1996,facebook,friend,weak,2022
290,2778,4618,twitter,follows,N/A,2007
291,2778,383,twitter,follows,N/A,2017
292,2778,1746,twitter,follows,N/A,2007
293,2778,6739,twitter,follows,N/A,2010
294,2778,1390,twitter,follows,N/A,2020
295,2778,5278,twitter,follows,N/A,2018
296,2778,7232,twitter,follows,N/A,2010
297,2778,1695,twitter,follows,N/A,2014
298,2778,1786,twitter,follows,N/A,2020
299,2778,5485,twitter,follows,N/A,2008
300,3984,862,facebook,friend,weak,2021
301,3984,5786,facebook,friend,medium,2008
302,3984,3036,twitter,follows,N/A,2006
303,3984,4812,twitter,follows,N/A,2018
304,3984,6763,twitter,follows,N/A,2012
305,3984,3666,twitter,follows,N/A,2016
306,3984,787,twitter,follows,N/A,2006
307,3984,232,twitter,follows,N/A,2022
308,3984,3653,twitter,follows,N/A,2020
309,3984,2072,twitter,follows,N/A,2017
310,3984,3897,twitter,follows,N/A,2021
311,3984,6640,twitter,follows,N/A,2015
312,5239,332,facebook,friend,weak,2015
313,5239,1252,facebook,friend,strong,2020
314,5239,2167,facebook,friend,weak,2018
315,5239,2967,facebook,friend,weak,2019
316,5239,1764,facebook,friend,weak,2013
317,5239,3874,facebook,friend,medium,2021
318,5239,6816,twitter,follows,N/A,2022
319,5239,1926,twitter,follows,N/A,2021
320,5239,1089,twitter,follows,N/A,2019
321,5239,5395,twitter,follows,N/A,2009
322,5239,6351,twitter,follows,N/A,2016
323,5239,5466,twitter,follows,N/A,2017
324,576,6031,facebook,friend,medium,2016
325,576,227,facebook,friend,weak,2020
326,576,1548,facebook,friend,strong,2017
327,576,83,facebook,friend,weak,2020
328,576,5668,facebook,friend,medium,2023
329,576,528,facebook,friend,medium,2014
330,576,354,facebook,friend,medium,2008
331,576,272,facebook,friend,weak,2023
332,576,1332,twitter,follows,N/A,2018
333,576,7242,twitter,follows,N/A,2022
334,576,7409,twitter,follows,N/A,2006
335,576,1336,twitter,follows,N/A,2020
336,576,6235,twitter,follows,N/A,2022
337,576,4028,twitter,follows,N/A,2023
338,576,515,twitter,follows,N/A,2020
339,576,3358,twitter,follows,N/A,2007
340,576,6806,twitter,follows,N/A,2018
341,576,6022,twitter,follows,N/A,2008
342,576,380,twitter,follows,N/A,2016
343,576,4494,twitter,follows,N/A,2020
344,4466,4119,facebook,friend,medium,2014
345,4466,1194,facebook,friend,strong,2011
346,4466,4061,facebook,friend,medium,2016
347,4466,4516,twitter,follows,N/A,2018
348,4466,6182,twitter,follows,N/A,2009
349,4466,6637,twitter,follows,N/A,2021
350,4466,7122,twitter,follows,N/A,2009
351,4466,1697,twitter,follows,N/A,2015
352,4466,4549,twitter,follows,N/A,2015
353,4466,5581,twitter,follows,N/A,2017
354,4466,72,twitter,follows,N/A,2014
355,7141,6697,facebook,friend,medium,2014
356,7141,5867,facebook,friend,medium,2015
357,7141,523,facebook,friend,strong,2017
358,7141,472,facebook,friend,medium,2021
359,7141,3096,twitter,follows,N/A,2013
360,7141,7476,twitter,follows,N/A,2019
361,7141,6295,twitter,follows,N/A,2018
362,7141,1710,twitter,follows,N/A,2012
363,7141,5844,twitter,follows,N/A,2013
364,6636,2035,facebook,friend,weak,2022
365,6636,6509,facebook,friend,medium,2008
366,6636,2481,facebook,friend,medium,2009
367,6636,700,facebook,friend,weak,2017
368,6636,3996,facebook,friend,weak,2013
369,6636,6574,facebook,friend,medium,2015
370,6636,6834,facebook,friend,weak,2018
371,6636,5792,twitter,follows,N/A,2014
372,6636,6431,twitter,follows,N/A,2016
373,6636,4940,twitter,follows,N/A,2011
374,6636,791,twitter,follows,N/A,2018
375,6636,2917,twitter,follows,N/A,2016
376,6636,4432,twitter,follows,N/A,2006
377,6636,7387,twitter,follows,N/A,2009
378,6636,3062,twitter,follows,N/A,2010
379,6636,5591,twitter,follows,N/A,2015
380,6636,3976,twitter,follows,N/A,2012
381,3014,5952,facebook,friend,weak,2017
382,3014,1218,facebook,friend,strong,2012
383,3014,2965,facebook,friend,strong,2021
384,3014,1754,facebook,friend,medium,2019
385,3014,336,facebook,friend,strong,2019
386,3014,5057,facebook,friend,weak,2022
387,3014,2126,facebook,friend,weak,2022
388,3014,871,facebook,friend,weak,2021
389,3014,590,twitter,follows,N/A,2015
390,3014,2190,twitter,follows,N/A,2021
391,3014,6222,twitter,follows,N/A,2022
392,3014,4573,twitter,follows,N/A,2021
393,3014,4509,twitter,follows,N/A,2012
394,3014,3185,twitter,follows,N/A,2012
395,3246,2047,facebook,friend,weak,2021
396,3246,1737,facebook,friend,weak,2015
397,3246,2204,facebook,friend,weak,2016
398,3246,6619,facebook,friend,strong,2011
399,3246,2436,facebook,friend,medium,2020
400,3246,6327,twitter,follows,N/A,2022
401,3246,7003,twitter,follows,N/A,2006
402,3246,3433,twitter,follows,N/A,2007
403,3246,4163,twitter,follows,N/A,2014
404,3246,115,twitter,follows,N/A,2014
405,3246,4675,twitter,follows,N/A,2006
406,3246,984,twitter,follows,N/A,2019
407,3246,6462,twitter,follows,N/A,2006
408,3246,823,twitter,follows,N/A,2007
409,3246,3925,twitter,follows,N/A,2023
410,3246,17,twitter,follows,N/A,2010
411,5502,2724,facebook,friend,strong,2022
412,5502,5498,facebook,friend,weak,2018
413,5502,2702,facebook,friend,medium,2009
414,5502,4786,facebook,friend,medium,2023
415,5502,3668,facebook,friend,weak,2016
416,5502,2363,facebook,friend,strong,2011
417,5502,5166,twitter,follows,N/A,2010
418,5502,3444,twitter,follows,N/A,2016
419,5502,3627,twitter,follows,N/A,2022
420,5502,4976,twitter,follows,N/A,2011
421,5502,2466,twitter,follows,N/A,2013
422,5502,5050,twitter,follows,N/A,2016
423,5502,5761,twitter,follows,N/A,2018
424,5502,1967,twitter,follows,N/A,2020
425,5502,5885,twitter,follows,N/A,2020
426,5502,7468,twitter,follows,N/A,2015
427,5502,4690,twitter,follows,N/A,2015
428,5502,7034,twitter,follows,N/A,2015
429,7173,5700,facebook,friend,strong,2020
430,7173,2829,facebook,friend,strong,2023
431,7173,2252,twitter,follows,N/A,2023
432,7173,1189,twitter,follows,N/A,2015
433,7173,5548,twitter,follows,N/A,2018
434,4509,1735,facebook,friend,medium,2009
435,4509,4325,facebook,friend,weak,2022
436,4509,1125,facebook,friend,medium,2023
437,4509,6591,facebook,friend,weak,2016
438,4509,3638,twitter,follows,N/A,2013
439,4509,2388,twitter,follows,N/A,2010
440,4509,1331,twitter,follows,N/A,2018
441,3532,4072,facebook,friend,strong,2015
442,3532,6843,facebook,friend,medium,2010
443,3532,2824,facebook,friend,weak,2016
444,3532,3969,facebook,friend,weak,2019
445,3532,6883,facebook,friend,weak,2016
446,3532,1817,twitter,follows,N/A,2018
447,3532,6836,twitter,follows,N/A,2009
448,3532,3410,twitter,follows,N/A,2014
449,3532,3421,twitter,follows,N/A,2023
450,3532,709,twitter,follows,N/A,2009
451,3532,623,twitter,follows,N/A,2023
452,3532,3177,twitter,follows,N/A,2023
453,3532,7214,twitter,follows,N/A,2017
454,3532,7383,twitter,follows,N/A,2022
455,3532,4432,twitter,follows,N/A,2019
456,1858,4209,facebook,friend,medium,2016
457,1858,4469,facebook,friend,strong,2012
458,1858,5487,facebook,friend,weak,2011
459,1858,6939,facebook,friend,weak,2015
460,1858,2315,facebook,friend,medium,2008
461,1858,5539,twitter,follows,N/A,2013
462,1858,5029,twitter,follows,N/A,2015
463,1858,4722,twitter,follows,N/A,2020
464,1858,1731,twitter,follows,N/A,2019
465,1858,197,twitter,follows,N/A,2010
466,3481,62,facebook,friend,medium,2011
467,3481,1273,facebook,friend,medium,2018
468,3481,7454,facebook,friend,weak,2009
469,3481,1298,facebook,friend,weak,2023
470,3481,5804,facebook,friend,weak,2014
471,3481,8,twitter,follows,N/A,2019
472,3481,6394,twitter,follows,N/A,2017
473,3481,2683,twitter,follows,N/A,2015
474,3481,2219,twitter,follows,N/A,2006
475,3481,336,twitter,follows,N/A,2010
476,3481,3492,twitter,follows,N/A,2014
477,3481,1309,twitter,follows,N/A,2022
478,3481,1785,twitter,follows,N/A,2017
479,3481,75,twitter,follows,N/A,2006
480,3481,2216,twitter,follows,N/A,2007
481,3481,3800,twitter,follows,N/A,2016
482,3481,775,twitter,follows,N/A,2022
483,538,4647,facebook,friend,medium,2013
484,538,5283,facebook,friend,weak,2023
485,538,5902,facebook,friend,medium,2012
486,538,3649,facebook,friend,weak,2016
487,538,5751,facebook,friend,weak,2023
488,538,6832,twitter,follows,N/A,2016
489,538,79,twitter,follows,N/A,2013
490,538,3989,twitter,follows,N/A,2015
491,5890,2515,facebook,friend,strong,2008
492,5890,5755,facebook,friend,medium,2011
493,5890,6168,facebook,friend,strong,2017
494,5890,7409,facebook,friend,strong,2020
495,5890,2237,twitter,follows,N/A,2010
496,5890,4442,twitter,follows,N/A,2018
497,5890,6469,twitter,follows,N/A,2009
498,5890,266,twitter,follows,N/A,2018
499,5890,6733,twitter,follows,N/A,2022
500,5890,6377,twitter,follows,N/A,2012
501,5890,1669,twitter,follows,N/A,2018
502,5890,6197,twitter,follows,N/A,2020
503,4979,424,facebook,friend,medium,2021
504,4979,19,facebook,friend,weak,2011
505,4979,7022,facebook,friend,strong,2018
506,4979,752,facebook,friend,medium,2008
507,4979,5997,facebook,friend,medium,2012
508,4979,469,facebook,friend,weak,2021
509,4979,5184,facebook,friend,weak,2009
510,4979,6068,twitter,follows,N/A,2009
511,4979,2091,twitter,follows,N/A,2016
512,4979,4862,twitter,follows,N/A,2012
513,4979,2133,twitter,follows,N/A,2018
514,4979,1316,twitter,follows,N/A,2014
515,4979,2663,twitter,follows,N/A,2023
516,4979,920,twitter,follows,N/A,2021
517,4979,1566,twitter,follows,N/A,2022
518,7147,5777,facebook,friend,medium,2015
519,7147,1653,facebook,friend,medium,2021
520,7147,2407,facebook,friend,strong,2014
521,7147,5781,facebook,friend,strong,2010
522,7147,5320,facebook,friend,weak,2010
523,7147,6700,facebook,friend,weak,2020
524,7147,5490,twitter,follows,N/A,2009
525,7147,3203,twitter,follows,N/A,2009
526,7147,2855,twitter,follows,N/A,2009
527,7147,6924,twitter,follows,N/A,2011
528,3381,6244,facebook,friend,medium,2020
529,3381,2150,facebook,friend,medium,2008
530,3381,4552,facebook,friend,weak,2009
531,3381,2249,facebook,friend,strong,2017
532,3381,7024,facebook,friend,weak,2023
533,3381,4746,facebook,friend,medium,2012
534,3381,2214,facebook,friend,strong,2019
535,3381,5595,twitter,follows,N/A,2009
536,3381,3153,twitter,follows,N/A,2007
537,3381,1559,twitter,follows,N/A,2012
538,3381,958,twitter,follows,N/A,2017
539,2266,1984,facebook,friend,weak,2011
540,2266,7201,facebook,friend,strong,2020
541,2266,1475,facebook,friend,medium,2015
542,2266,6046,facebook,friend,medium,2017
543,2266,4912,twitter,follows,N/A,2009
544,2266,6174,twitter,follows,N/A,2016
545,2266,6881,twitter,follows,N/A,2014
546,2266,7410,twitter,follows,N/A,2017
547,1795,7494,facebook,friend,weak,2015
548,1795,7296,facebook,friend,medium,2010
549,1795,1665,facebook,friend,medium,2020
550,1795,5052,facebook,friend,weak,2017
551,1795,3536,facebook,friend,strong,2018
552,1795,1059,facebook,friend,weak,2009
553,1795,4068,twitter,follows,N/A,2013
554,1795,4167,twitter,follows,N/A,2013
555,1795,2307,twitter,follows,N/A,2022
556,1795,4839,twitter,follows,N/A,2009
557,1795,1417,twitter,follows,N/A,2012
558,1726,3543,facebook,friend,medium,2017
559,1726,7179,facebook,friend,weak,2009
560,1726,6588,facebook,friend,weak,2017
561,1726,1085,facebook,friend,weak,2010
562,1726,1298,facebook,friend,weak,2015
563,1726,2657,facebook,friend,medium,2019
564,1726,6597,twitter,follows,N/A,2021
565,1726,4761,twitter,follows,N/A,2023
566,1726,2693,twitter,follows,N/A,2013
567,1726,4320,twitter,follows,N/A,2013
568,3135,1635,facebook,friend,medium,2023
569,3135,1190,facebook,friend,medium,2016
570,3135,472,facebook,friend,medium,2012
571,3135,5559,facebook,friend,strong,2014
572,3135,590,facebook,friend,weak,2009
573,3135,4654,facebook,friend,weak,2021
574,3135,2464,facebook,friend,medium,2008
575,3135,2226,twitter,follows,N/A,2021
576,3135,1769,twitter,follows,N/A,2021
577,3135,5034,twitter,follows,N/A,2006
578,3135,2178,twitter,follows,N/A,2022
579,3135,6791,twitter,follows,N/A,2018
580,3135,2824,twitter,follows,N/A,2015
581,3082,5073,facebook,friend,weak,2020
582,3082,6426,facebook,friend,weak,2013
583,3082,855,facebook,friend,strong,2023
584,3082,4898,twitter,follows,N/A,2013
585,3082,6597,twitter,follows,N/A,2019
586,3082,1685,twitter,follows,N/A,2018
587,3082,3517,twitter,follows,N/A,2017
588,3082,1311,twitter,follows,N/A,2018
589,3082,713,twitter,follows,N/A,2014
590,3082,6580,twitter,follows,N/A,2013
591,3082,4271,twitter,follows,N/A,2015
592,3082,6982,twitter,follows,N/A,2015
593,3082,1299,twitter,follows,N/A,2007
594,3082,2928,twitter,follows,N/A,2018
595,132,5784,facebook,friend,strong,2012
596,132,4939,facebook,friend,medium,2021
597,132,5806,twitter,follows,N/A,2016
598,132,213,twitter,follows,N/A,2020
599,132,4065,twitter,follows,N/A,2006
600,132,4412,twitter,follows,N/A,2012
601,132,795,twitter,follows,N/A,2008
602,132,6304,twitter,follows,N/A,2023
603,1188,4079,facebook,friend,weak,2015
604,1188,6970,facebook,friend,medium,2019
605,1188,2819,facebook,friend,medium,2017
606,1188,4893,facebook,friend,weak,2008
607,1188,5563,facebook,friend,strong,2012
608,1188,5054,twitter,follows,N/A,2022
609,1188,4688,twitter,follows,N/A,2013
610,1188,2693,twitter,follows,N/A,2019
611,1188,4224,twitter,follows,N/A,2017
612,1188,1350,twitter,follows,N/A,2017
613,1188,4503,twitter,follows,N/A,2016
614,1188,5564,twitter,follows,N/A,2012
615,1188,993,twitter,follows,N/A,2010
616,1188,5017,twitter,follows,N/A,2006
617,1188,3617,twitter,follows,N/A,2020
618,1188,6662,twitter,follows,N/A,2007
619,6865,6543,facebook,friend,medium,2009
620,6865,1024,facebook,friend,medium,2016
621,6865,2204,facebook,friend,weak,2015
622,6865,7015,facebook,friend,medium,2016
623,6865,1940,twitter,follows,N/A,2021
624,6865,6718,twitter,follows,N/A,2008
625,6865,4333,twitter,follows,N/A,2016
626,6865,2464,twitter,follows,N/A,2006
627,6865,4960,twitter,follows,N/A,2021
628,6865,693,twitter,follows,N/A,2009
629,6865,4518,twitter,follows,N/A,2014
630,4058,7000,facebook,friend,weak,2015
631,4058,6245,facebook,friend,medium,2023
632,4058,1968,facebook,friend,medium,2015
633,4058,4695,facebook,friend,weak,2021
634,4058,1698,facebook,friend,medium,2016
635,4058,935,facebook,friend,strong,2022
636,4058,7259,facebook,friend,weak,2023
637,4058,765,twitter,follows,N/A,2018
638,4058,6112,twitter,follows,N/A,2006
639,4058,436,twitter,follows,N/A,2017
640,4058,4039,twitter,follows,N/A,2013
641,4058,6731,twitter,follows,N/A,2011
642,4058,5328,twitter,follows,N/A,2007
643,4058,6152,twitter,follows,N/A,2014
644,4058,7317,twitter,follows,N/A,2014
645,4058,3597,twitter,follows,N/A,2015
646,4058,6807,twitter,follows,N/A,2014
647,554,1578,facebook,friend,strong,2015
648,554,3741,facebook,friend,weak,2016
649,554,1022,facebook,friend,medium,2009
650,554,4288,facebook,friend,strong,2014
651,554,2264,facebook,friend,medium,2014
652,554,5816,facebook,friend,medium,2011
